"","race","District","seas","est","lb","ub","agecat"
"1","Black/African American","Intervention","2014-15",162.458539226968,104.090251504004,241.725428780567,"eld"
"2","Black/African American","Intervention","2015-16",33.8455290056184,10.9895511413959,78.9841743675805,"eld"
"3","Black/African American","Intervention","2016-17",304.609761050565,222.184449930512,407.591826284159,"eld"
"4","Black/African American","Intervention","2017-18",351.993501658431,262.885583161587,461.592646997041,"eld"
"5","Black/African American","Comparison","2014-15",132.231404958678,57.0881351528678,260.548582151956,"eld"
"6","Black/African American","Comparison","2015-16",82.6446280991735,26.8344857870813,192.864993046656,"eld"
"7","Black/African American","Comparison","2016-17",231.404958677686,126.511244236374,388.258200360919,"eld"
"8","Black/African American","Comparison","2017-18",611.570247933884,430.601893671174,842.969027139352,"eld"
"9","Hispanic","Intervention","2014-15",100.679587213692,27.4317989837988,257.779730063018,"eld"
"10","Hispanic","Intervention","2015-16",50.3397936068462,6.09638254578316,181.844643033576,"eld"
"11","Hispanic","Intervention","2016-17",377.548452051347,211.311002587045,622.708755889399,"eld"
"12","Hispanic","Intervention","2017-18",151.019380820539,55.4214511324151,328.70561345378,"eld"
"13","Hispanic","Comparison","2014-15",192.996967190516,77.5947905023399,397.647514797419,"eld"
"14","Hispanic","Comparison","2015-16",82.7129859387924,17.0574062005956,241.72244471305,"eld"
"15","Hispanic","Comparison","2016-17",330.85194375517,170.956027260056,577.931763114887,"eld"
"16","Hispanic","Comparison","2017-18",82.7129859387924,17.0574062005956,241.72244471305,"eld"
"17","White/API","Intervention","2014-15",139.837915143811,101.606443216731,187.725874083292,"eld"
"18","White/API","Intervention","2015-16",57.2064198315589,33.9041499456524,90.4108065073192,"eld"
"19","White/API","Intervention","2016-17",206.578738280629,159.433108944015,263.301559878823,"eld"
"20","White/API","Intervention","2017-18",209.756872715716,162.225950162534,266.862172072165,"eld"
"21","White/API","Comparison","2014-15",129.631178389228,88.0780964252816,184.001110241903,"eld"
"22","White/API","Comparison","2015-16",62.7247637367233,35.1065741104931,103.454958900585,"eld"
"23","White/API","Comparison","2016-17",313.623818683616,246.685028441296,393.130172488219,"eld"
"24","White/API","Comparison","2017-18",334.532073262524,265.26312867354,416.354122971642,"eld"
