"","district","race","n","prop"
"1","OUSD","Asian",501,0.223063223508459
"2","OUSD","Black",367,0.16340160284951
"3","OUSD","Latino",916,0.407836153161175
"4","OUSD","Missing",60,0.0267141585040071
"5","OUSD","Multi",183,0.0814781834372217
"6","OUSD","Native American",11,0.00489759572573464
"7","OUSD","Pacific islander",28,0.01246660730187
"8","OUSD","White",180,0.0801424755120214
"9","WCCUSD","Asian",629,0.164487447698745
"10","WCCUSD","Black",371,0.0970188284518829
"11","WCCUSD","Latino",1961,0.512813807531381
"12","WCCUSD","Missing",90,0.0235355648535565
"13","WCCUSD","Multi",415,0.10852510460251
"14","WCCUSD","Native American",17,0.00444560669456067
"15","WCCUSD","Pacific islander",49,0.0128138075313808
"16","WCCUSD","White",292,0.0763598326359833
